lemma,normalized_lemma,part_of_speech,sense_position,definition,tags,polish_translations,cefr,wordnet_synsets,frequency_rank
pie,pie,noun,14,"Alternative form of pi (“metal type that has been spilled, mixed together, or disordered”).",alt-of|alternative,,cefr_j:B1,,
pie,pie,verb,0,"To hit in the face with a pie, either for comic effect or as a means of protest (see also pieing).",transitive,,,,
pie,pie,verb,1,To go around (a corner) in a guarded manner.,transitive,,,,
pie,pie,verb,2,To ignore (someone).,UK|often|slang|transitive,,,,
pie,pie,verb,3,Alternative form of pi (“to spill or mix printing type”).,alt-of|alternative|transitive,,,,
A,a,character,0,"The first letter of the English alphabet, called a and written in the Latin script.",letter|uppercase,,,,6
A,a,numeral,0,"The first numeral symbol of the English alphabet, called a and written in the Latin script.",uppercase,,,,6
A,a,symbol,0,"A rank, normally the highest rank, on any of various scales that assign letters.",,,,,6
A,a,symbol,1,The highest letter grade assigned (disregarding plusses and minuses).,,,,,6
A,a,symbol,2,A tone three fifths above C in the cycle of fifths; the sixth tone of the C major scale; the first note of the minor scale of A minor; the reference tone that occurs at exactly 440 Hz; the printed or written note A; the scale with A as its keynote.,,,,,6
A,a,symbol,3,A blood type that has a specific antigen that aggravates the immune response in people with type B antigen in their blood. People with this blood type may receive blood from type A or type O but cannot receive blood from AB or B.,,,,,6
A,a,symbol,4,Mass number.,,,,,6
A,a,symbol,5,A universal affirmative suggestion.,,,,,6
A,a,symbol,6,"Abbreviation of adulterer or adulteress, used as a human brand.",abbreviation|alt-of|historical,,,,6
A,a,symbol,7,Allele dominant.,,,,,6
A,a,symbol,8,Alternative spelling of A.M. and AM (“ante meridiem”).,US|alt-of|alternative,,,,6
A,a,noun,0,Ace. (including in card games),,A,,,6
A,a,noun,1,Acre.,,,,,6
A,a,noun,2,Adult; as used in film rating.,,,,,6
A,a,noun,3,Ammeter.,,,,,6
A,a,noun,4,Angstrom.,nonstandard,,,,6
A,a,noun,5,Answer.,,,,,6
A,a,noun,6,An assist.,,,,,6
A,a,noun,7,Asexual.,,,,,6
A,a,noun,8,Arsehole.,London|UK,,,,6
A,a,noun,9,Atom.,,,,,6
A,a,adjective,0,Atom; atomic.,,,,,6
crow,crow,noun,0,"A bird, usually black, of the genus Corvus, having a strong conical beak, with projecting bristles; it has a harsh, croaking call.",,but see wrona|gawron|kruk|kawka f depending on species.|pianie,cefr_j:B1,01581669-n,
crow,crow,noun,1,Any of various dark-coloured nymphalid butterflies of the genus Euploea.,,,cefr_j:B1,,
crow,crow,noun,2,"A bar of iron with a beak, crook or claw; a bar of iron used as a lever; a crowbar.",,łom,cefr_j:B1,,
crow,crow,noun,3,Someone who keeps watch while their associates commit a crime; a lookout.,archaic|slang,,cefr_j:B1,,
crow,crow,noun,4,A gangplank (corvus) used by the Ancient Roman navy to board enemy ships.,historical,,cefr_j:B1,,
crow,crow,noun,5,The mesentery of an animal.,,,cefr_j:B1,,
crow,crow,noun,6,"An ill-tempered and obstinate woman, or one who otherwise has features resembling the bird; a harpy.",derogatory,,cefr_j:B1,,
crow,crow,noun,7,A black person.,ethnic|offensive|slang|slur,,cefr_j:B1,01581669-n,
crow,crow,noun,8,"The emblem of an eagle, a sign of military rank.",slang,,cefr_j:B1,,
crow,crow,noun,9,"The cry or call of a rooster or a cockerel, especially as heard at sunrise.",,,cefr_j:B1,,
crow,crow,noun,10,Alternative spelling of cro (“marijuana”).,alt-of|alternative|uncountable,,cefr_j:B1,,
crow,crow,adjective,0,"Dark black, the color of a crow; crow-black.",uncommon,,,,
crow,crow,verb,0,"To use a crowbar, wedge, or other implement to attempt to open a surface by leveraging force on the opposite end of the tool to pry off the connection between the two surfaces.",,,,,
crow,crow,verb,1,"To make the shrill sound characteristic of a rooster; to make a sound in this manner, either in gaiety, joy, pleasure, or defiance.",intransitive,piać|piać z zachwytu,,,
crow,crow,verb,2,To shout in exultation or defiance; to brag.,intransitive,,,,
crow,crow,verb,3,To test the reed of a double reed instrument by placing the reed alone in the mouth and blowing it.,intransitive,,,,
raven,raven,noun,0,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",countable,kruk,,,
raven,raven,noun,1,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",uncountable,,,,
raven,raven,noun,2,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",archaic|countable,,,,
raven,raven,noun,3,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",countable|historical,,,,
raven,raven,noun,4,"Any of several, generally large, species of birds in the genus Corvus with lustrous black plumage; especially the common raven (Corvus corax).",historical|metonymically|uncountable,,,,
raven,raven,noun,5,A person who brings bad news or makes pessimistic predictions.,countable|figuratively|obsolete,,,,
raven,raven,noun,6,Alternative spelling of ravin.,alt-of|alternative|uncountable,,,,
raven,raven,adjective,0,"Of the jet-black and often glossy colour of the plumage of a raven (etymology 1, noun sense 1).",not-comparable,kruczy|kruczoczarny,,,
raven,raven,adjective,1,Alternative spelling of ravin.,alt-of|alternative|obsolete,,,,
raven,raven,verb,0,Alternative spelling of ravin.,archaic|transitive,,,,
raven,raven,verb,1,Alternative spelling of ravin.,figuratively|transitive,,,,
raven,raven,verb,2,Alternative spelling of ravin.,intransitive,,,,
raven,raven,verb,3,Alternative spelling of ravin.,figuratively|intransitive,,,,
elephant,elephant,noun,0,"A large mammal of the family Elephantidae in the order Proboscidea, having a trunk, and native to Africa and Asia.",countable|uncountable,słoń|słonica,cefr_j:A2,,
elephant,elephant,noun,1,Anything huge and ponderous.,countable|figuratively|uncountable,,cefr_j:A2,,
elephant,elephant,noun,2,Synonym of elephant paper.,countable|uncountable,,cefr_j:A2,,
elephant,elephant,noun,3,"used when counting to add length, so that each count takes about one second",UK|childish|countable|uncountable,,cefr_j:A2,,
elephant,elephant,noun,4,Ivory.,obsolete|uncountable,,cefr_j:A2,,
