entry_key,sense_position,definition
deal|verb,11,To be concerned with.
merchandise|noun,0,Goods which are or were offered or intended for sale.
merchandise|noun,1,"Commercial goods connected (branded) with an entity such as a team, band, company, charity, work of fiction, festival, or meme. (Commonly shortened to merch.)"
merchandise|noun,2,A commodity offered for sale; an article of commerce; a kind of merchandise.
merchandise|noun,3,The act or business of trading; trade; traffic.
merchandise|verb,4,To promote as if for sale.
product|noun,0,Anything that is produced; a result.
product|noun,3,"Ellipsis of beauty product: any preparation to be applied to the hair, skin, nails, etc. Often specifically a preparation used to hold one's hair in a desired arrangement."
eagle|noun,0,"Any of several large carnivorous and carrion-eating birds in the family Accipitridae, having a powerful hooked bill and keen vision."
eagle|noun,2,"A 13th-century coin minted in Europe and circulated in England as a debased sterling silver penny, outlawed under Edward I of England."
eagle|verb,0,To score an eagle.
head|noun,3,"The topmost, foremost, or leading part."
head|noun,4,"The topmost, foremost, or leading part."
head|noun,5,"The topmost, foremost, or leading part."
head|noun,6,"The topmost, foremost, or leading part."
head|noun,7,A leader or expert.
head|noun,8,A leader or expert.
head|noun,9,A leader or expert.
head|noun,10,A leader or expert.
head|noun,11,A leader or expert.
head|noun,12,A significant or important part.
head|noun,13,A significant or important part.
head|noun,14,Headway; progress.
head|noun,16,Denouement; crisis.
head|noun,19,The glans penis.
head|noun,21,Power; armed force.
head|verb,2,To strike with the head
head|verb,3,To move in a specified direction.
head|verb,5,"To originate; to spring; to have its course, as a river."
head|verb,7,To form a head (on or to); to fit or furnish (something) with a head.
head|verb,9,To behead; to decapitate.
head|verb,12,To check or restrain.
head|verb,13,To set on the head.
pumpkin|noun,0,"A domesticated plant, in species Cucurbita pepo, similar in growth pattern, foliage, flower, and fruit to the squash or melon."
pumpkin|noun,1,The round yellow or orange fruit of this plant.
pumpkin|noun,2,The typical color of the ripe fruit of the pumpkin plant.
pumpkin|noun,3,Any of a number of cultivars from the genus Cucurbita; known in the US as winter squash.
pumpkin|noun,4,A term of endearment for someone small and cute.
pumpkin|noun,5,"The housing for a differential, built into an axle of a vehicle; the housing and its contents."
name|noun,0,"Any nounal word or phrase which indicates a particular person, place, class, or thing."
name|noun,3,A person (or legal person).
name|noun,4,Those of a certain name; a race; a family.
name|noun,6,"An identifier, generally a unique string of characters."
name|noun,7,An investor in Lloyd's of London bearing unlimited liability.
name|noun,8,Any of several types of true yam (Dioscorea) used in Caribbean Spanish cooking.
name|verb,0,To give a name to.
name|verb,2,To identify as relevant or important
name|verb,3,To publicly implicate by name.
name|verb,4,To disclose the name of.
name|verb,5,To designate for a role.
name|verb,6,To initiate a process to temporarily remove a member of parliament who is breaking the rules of conduct.
f|noun,0,"Folio, paper and book size (10""-12.5"" x 15""-20"")"
f|noun,1,Abbreviation of fuck.
f|noun,2,Abbreviation of feminine.
fabian|adjective,0,"Pertaining to or reminiscent of Roman general Fabius Maximus, whose tactics against Hannibal during the Second Punic War famously consisted of delaying or avoiding combat, focusing instead on weakenin"
fabian|adjective,1,"Advocating that social reforms be reached through a series of gradual and moderate stages rather than sudden revolution; specifically, relating to the Fabian Society, a British socialist society advoc"
fabian|adjective,2,Cautious; dilatory; avoiding a decisive contest.
fabian|noun,1,A male given name from Latin.
fabian|noun,2,A surname.
fable|noun,0,"A fictitious narrative intended to enforce some useful truth or precept, usually with animals, etc. as characters; an apologue. Prototypically, Aesop's Fables."
fable|noun,1,Any story told to excite wonder; common talk; the theme of talk.
fable|noun,2,Fiction; untruth; falsehood.
aardwolf|noun,0,"A nocturnal, insectivorous mammal (Proteles cristatus), having yellowish fur with vertical black stripes, and a long mane down the midline of the neck and back; it is related to and resembles the hyen"
aaron's rod|noun,0,"Any of various plants with a tall flowering stem, especially:"
aaron's rod|noun,1,"A rod-shaped molding decorated with an entwined snake, and sometimes leaves, vines, or scrolls."
aaron's rod|noun,2,"A rod with one serpent twined around it, as used by Aaron (differing from the caduceus of Mercury, which has two serpents)."
aaron's rod|noun,3,The penis.
ab|noun,0,Clipping of abdominal muscle .
ab|noun,1,"An abscess caused by injecting an illegal drug, usually heroin."
ab|noun,2,Abbreviation of abortion.
ab|noun,3,The early stages of; the beginning process; the start.
ab|noun,4,Abbreviation of Alberta: a province of Canada.
ab|noun,5,Initialism of Artium baccalaureus.
ab|noun,6,"Initialism of Aryan Brotherhood, a US white supremacist, neo-Nazi prison gang and crime syndicate."
ab|noun,7,Initialism of Anheuser-Busch.
ab|noun,8,Initialism of able seaman or able-bodied seaman.
ab|noun,9,Initialism of afterburner.
ab|noun,10,Initialism of aid to the blind.
ab|noun,11,Initialism of airbase.
ab|noun,12,Abbreviation of alkylbenzene.
ab|noun,13,Initialism of antibody.
ab|noun,14,Initialism of artificial breeding.
ab|noun,15,Initialism of assembly bill.
ab|noun,18,Initialism of adult baby.
ab|noun,19,Initialism of asymmetric bars.
ab|noun,20,"A halal snack pack consisting of doner meat topped with chips, tomato sauce, chilli sauce, barbecue sauce, and garlic sauce."
ab|noun,21,Initialism of attentional blink.
abaca|noun,0,"Musa textilis, a species of banana tree native to the Philippines grown for its textile, rope- and papermaking fibre."
abaca|noun,1,"The fiber of this plant, used in rope, fibers, and cloth."
aback|adverb,0,Towards the back or rear; backwards.
aback|adverb,1,In the rear; a distance behind.
abacus|noun,0,A table or tray scattered with sand which was used for calculating or drawing.
abacus|noun,3,"A board, tray, or table, divided into perforated compartments for holding bottles, cups, or the like; a kind of buffet, cupboard, or sideboard."
abaft|adverb,0,On the aft side; in the stern.
abaft|adverb,1,Backwards.
abalone|noun,1,The meat of the aforementioned mollusc.
abandon|verb,0,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions."
abandon|verb,1,"To desist in doing, practicing, following, holding, or adhering to; to turn away from; to permit to lapse; to renounce; to discontinue."
abandon|verb,3,To subdue; to take control of.
abandon|verb,4,To cast out; to banish; to expel; to reject.
abandon|verb,5,"To no longer exercise a right, title, or interest, especially with no interest of reclaiming it again; to yield; to relinquish."
abandon|verb,6,"To surrender to the insurer (an insured item), so as to claim a total loss."
abandon|noun,0,"A yielding to natural impulses or inhibitions; freedom from artificial constraint, with loss of appreciation of consequences. (Now especially in the phrase with abandon.)"
abandon|noun,1,Abandonment; relinquishment.
